id,realm,material_type,author_inified,country_of_birth_original,country_of_birth_modern,sex or gender,title_en,edition,language,translator,paratext_en,editor,illustrator,cover_desing_en,city_en,publisher_en,year
92,RU,Book,Semyon Lipkin,Soviet Union,Ukraine,male,Dekada,,Russian,,,,,,New York,Chalidze Publications,1983
93,RU,Book,Yevgeny Yevtushenko,Russia,Russia,male,Iabloko. Novaia kniga stikhov,,Russian,,,,,,London,Flegon,196?
94,RU,Book,Yevgeny Yevtushenko,Russia,Russia,male,Kachka,,Russian,,,,,,London,Flegon,1966
95,RU,Book,Andrei Voznesensky,Soviet Union,Russia,male,Moi liubovnyi dnevnik,,Russian,,,,,,London,Flegon,1966
96,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,V pervom krugu In the First Circle,,Russian,,,,,,London,Flegon,1968
97,RU,Book,Andrei Voznesensky,Soviet Union,Russia,male,Menia pugaiut formalizmom,,Russian,,,,,,London,Flegon,1963
98,RU,Book,Andrei Amalrik,Soviet Union,Russia,male,Prosushchestvuet li Sovetskii Soiuz do 1984 goda?,,Russian,,,,,,Amsterdam,Alexander Herzen Foundation,1969
99,RU,Book,Andrei Amalrik,Soviet Union,Russia,male,"Stati i pisma, 1967-1970",,Russian,,,,,,Amsterdam,Alexander Herzen Foundation,1971
100,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,V kruge pervom (In the First Circle). Novel,,Russian,,,,,,New York,Harper & Row,1968
101,RU,Book,Anatoly Marchenko,Soviet Union,Russia,male,Ot Tarusy do Chuny. With documents on Marchenkos trial,,Russian,,,,,,New York,Khronika,1976
102,RU,Book,Alexander Zinoviev,Soviet Union,Russian Empire,male,Ziiaiushchie vysoty Yawning Heights,,Russian,,,,,,Lausanne,L'Age d'Homme,1976
103,RU,Book,Vladimir Vysotsky,Soviet Union,Russia,male,"Pesni i stikhi, Vol.1",,Russian,,,Arkady Lvov,,Mikhail Turovsky,New York,Literaturnoe zarubezh'e,1981
104,RU,Book,Vladimir Vysotsky,Soviet Union,Russia,male,"Pesni i stikhi, Vol.2",,Russian,,,Arkady Lvov,,Mikhail Turovsky,New York,Literaturnoe zarubezh'e,1981
105,RU,Book,Aleksandr Solzhenitsyn,Russian Socialist Federative Soviet Republic,Russia,male,Rakovyi korpus (Cancer Ward),,Russian,,,,,,Milan,Mondadori,1968
107,RU,Book,,,,,Pis'ma iz ssylki (1948-1957). Ariadna Efron Borisu Pasternaku. Includes 12 letters from Boris Pasternak,,Russian,,,,,Elena Fisher,Paris,YMCA-Press,1982
108,RU,Book,Aleksandr Gladkov,Soviet Union,Russia,male,Vstrechi s Pasternakom,,Russian,,,,,,Paris,YMCA-Press,1973
109,RU,Book,,,,,"Songs of the Russian Bards, Vol II",,Russian,,,,,Lev Nusberg,Paris,YMCA-Press,1977
